stPoint: 0, ndPoint: 0, Hue: 0
stPoint: 1, ndPoint: 0, Hue: 1
stPoint: 2, ndPoint: 0, Hue: 2
stPoint: 3, ndPoint: 0, Hue: 3
stPoint: 4, ndPoint: 0, Hue: 4
stPoint: 5, ndPoint: 0, Hue: 5
stPoint: 6, ndPoint: 0, Hue: 6
stPoint: 7, ndPoint: 0, Hue: 7
stPoint: 8, ndPoint: 0, Hue: 8
stPoint: 9, ndPoint: 0, Hue: 9
stPoint: 10, ndPoint: 0, Hue: 10
stPoint: 11, ndPoint: 0, Hue: 11
stPoint: 12, ndPoint: 0, Hue: 12
stPoint: 13, ndPoint: 0, Hue: 13
stPoint: 14, ndPoint: 0, Hue: 14
stPoint: 15, ndPoint: 0, Hue: 15
stPoint: 16, ndPoint: 0, Hue: 16
stPoint: 17, ndPoint: 0, Hue: 17
stPoint: 18, ndPoint: 0, Hue: 18
stPoint: 19, ndPoint: 0, Hue: 19
stPoint: 20, ndPoint: 0, Hue: 20
stPoint: 21, ndPoint: 0, Hue: 21
stPoint: 22, ndPoint: 0, Hue: 22
stPoint: 23, ndPoint: 0, Hue: 23
stPoint: 24, ndPoint: 0, Hue: 24
stPoint: 25, ndPoint: 0, Hue: 25
stPoint: 26, ndPoint: 0, Hue: 26
stPoint: 27, ndPoint: 0, Hue: 27
stPoint: 28, ndPoint: 0, Hue: 28
stPoint: 29, ndPoint: 0, Hue: 29
stPoint: 30, ndPoint: 0, Hue: 30
stPoint: 31, ndPoint: 0, Hue: 31
stPoint: 32, ndPoint: 0, Hue: 32
stPoint: 33, ndPoint: 0, Hue: 33
stPoint: 34, ndPoint: 0, Hue: 34
stPoint: 35, ndPoint: 0, Hue: 35
stPoint: 36, ndPoint: 0, Hue: 36
stPoint: 37, ndPoint: 0, Hue: 37
stPoint: 38, ndPoint: 0, Hue: 38
stPoint: 39, ndPoint: 0, Hue: 39
stPoint: 40, ndPoint: 0, Hue: 40
stPoint: 41, ndPoint: 0, Hue: 41
stPoint: 42, ndPoint: 0, Hue: 42
stPoint: 43, ndPoint: 0, Hue: 43
stPoint: 44, ndPoint: 0, Hue: 44
stPoint: 45, ndPoint: 0, Hue: 45
stPoint: 46, ndPoint: 0, Hue: 46
stPoint: 47, ndPoint: 0, Hue: 47
stPoint: 48, ndPoint: 0, Hue: 48
stPoint: 49, ndPoint: 0, Hue: 49
stPoint: 50, ndPoint: 0, Hue: 50
stPoint: 51, ndPoint: 0, Hue: 51
stPoint: 52, ndPoint: 0, Hue: 52
stPoint: 53, ndPoint: 0, Hue: 53
stPoint: 54, ndPoint: 0, Hue: 54
stPoint: 55, ndPoint: 0, Hue: 55
stPoint: 56, ndPoint: 0, Hue: 56
stPoint: 57, ndPoint: 0, Hue: 57
stPoint: 58, ndPoint: 0, Hue: 58
stPoint: 59, ndPoint: 0, Hue: 59
stPoint: 60, ndPoint: 0, Hue: 60
stPoint: 61, ndPoint: 0, Hue: 61
stPoint: 62, ndPoint: 0, Hue: 62
stPoint: 63, ndPoint: 0, Hue: 63
stPoint: 64, ndPoint: 0, Hue: 64
stPoint: 65, ndPoint: 0, Hue: 65
stPoint: 66, ndPoint: 0, Hue: 66
stPoint: 67, ndPoint: 0, Hue: 67
stPoint: 68, ndPoint: 0, Hue: 68
stPoint: 69, ndPoint: 0, Hue: 69
stPoint: 70, ndPoint: 0, Hue: 70
stPoint: 71, ndPoint: 0, Hue: 71
stPoint: 72, ndPoint: 0, Hue: 72
stPoint: 73, ndPoint: 0, Hue: 73
stPoint: 74, ndPoint: 0, Hue: 74
stPoint: 75, ndPoint: 0, Hue: 75
stPoint: 76, ndPoint: 0, Hue: 76
stPoint: 77, ndPoint: 0, Hue: 77
stPoint: 78, ndPoint: 0, Hue: 78
stPoint: 79, ndPoint: 0, Hue: 79
stPoint: 80, ndPoint: 0, Hue: 80
stPoint: 81, ndPoint: 0, Hue: 81
stPoint: 82, ndPoint: 0, Hue: 82
stPoint: 83, ndPoint: 0, Hue: 83
stPoint: 84, ndPoint: 0, Hue: 84
stPoint: 85, ndPoint: 0, Hue: 85
stPoint: 86, ndPoint: 0, Hue: 86
stPoint: 87, ndPoint: 0, Hue: 87
stPoint: 88, ndPoint: 0, Hue: 88
stPoint: 89, ndPoint: 0, Hue: 89
stPoint: 90, ndPoint: 0, Hue: 90
stPoint: 91, ndPoint: 0, Hue: 91
stPoint: 92, ndPoint: 0, Hue: 92
stPoint: 93, ndPoint: 0, Hue: 93
stPoint: 94, ndPoint: 0, Hue: 94
stPoint: 95, ndPoint: 0, Hue: 95
stPoint: 96, ndPoint: 0, Hue: 96
stPoint: 97, ndPoint: 0, Hue: 97
stPoint: 98, ndPoint: 0, Hue: 98
stPoint: 99, ndPoint: 0, Hue: 99
stPoint: 100, ndPoint: 0, Hue: 100
stPoint: 101, ndPoint: 0, Hue: 101
stPoint: 102, ndPoint: 0, Hue: 102
stPoint: 103, ndPoint: 0, Hue: 103
stPoint: 104, ndPoint: 0, Hue: 104
stPoint: 105, ndPoint: 0, Hue: 105
stPoint: 106, ndPoint: 0, Hue: 106
stPoint: 107, ndPoint: 0, Hue: 107
stPoint: 108, ndPoint: 0, Hue: 108
stPoint: 109, ndPoint: 0, Hue: 109
stPoint: 110, ndPoint: 0, Hue: 110
stPoint: 111, ndPoint: 0, Hue: 111
stPoint: 112, ndPoint: 0, Hue: 112
stPoint: 113, ndPoint: 0, Hue: 113
stPoint: 114, ndPoint: 0, Hue: 114
stPoint: 115, ndPoint: 0, Hue: 115
stPoint: 116, ndPoint: 0, Hue: 116
stPoint: 117, ndPoint: 0, Hue: 117
stPoint: 118, ndPoint: 0, Hue: 118
stPoint: 119, ndPoint: 0, Hue: 119
stPoint: 120, ndPoint: 0, Hue: 120
stPoint: 121, ndPoint: 0, Hue: 121
stPoint: 122, ndPoint: 0, Hue: 122
stPoint: 123, ndPoint: 0, Hue: 123
stPoint: 124, ndPoint: 0, Hue: 124
stPoint: 125, ndPoint: 0, Hue: 125
stPoint: 126, ndPoint: 0, Hue: 126
